ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj
600900.SH,20250703,30.26,30.28,29.85,30.09,30.25,0.0,-0.5289,936811.23,2811204.131,hfq
600900.SH,20250704,30.06,30.29,30.01,30.16,30.09,0.07,0.2326,679228.05,2048728.031,hfq
600900.SH,20250707,30.24,30.28,30.07,30.26,30.16,0.1,0.3316,508278.48,1534745.747,hfq
600900.SH,20250708,30.27,30.27,29.91,29.92,30.26,-0.34,-1.1236,1073286.01,3219638.664,hfq
600900.SH,20250709,29.95,30.1,29.85,29.98,29.92,0.06,0.2005,670383.21,2011578.386,hfq
600900.SH,20250710,30.0,30.08,29.8,29.9,29.98,-0.08,-0.2668,947643.05,2835522.287,hfq
600900.SH,20250711,29.92,30.59,29.87,30.4,29.9,0.5,1.6722,1642154.79,4984368.453,hfq
600900.SH,20250714,30.42,30.79,30.4,30.61,30.4,0.21,0.6908,771547.17,2363137.312,hfq
600900.SH,20250715,30.61,30.68,30.35,30.48,30.61,-0.13,-0.4247,562461.57,1714077.283,hfq
600900.SH,20250716,30.6,30.66,30.33,30.34,30.48,-0.14,-0.4593,386213.46,1174692.478,hfq
600900.SH,20250717,30.32,30.4,30.12,30.16,30.34,-0.18,-0.5933,614655.48,1855170.425,hfq
600900.SH,20250718,30.2727,30.3342,30.078,30.2317,30.16,0.0717,0.2379,601701.9,1774601.208,hfq
600900.SH,20250721,30.4367,30.6007,30.1498,30.242,30.2318,0.0103,0.0339,778276.54,2301161.415,hfq
600900.SH,20250722,30.1908,30.242,30.0063,30.0883,30.242,-0.1537,-0.5083,943940.47,2772595.624,hfq
600900.SH,20250723,30.1395,30.1805,29.8936,29.9038,30.0883,-0.1845,-0.6131,1073549.45,3142732.507,hfq
600900.SH,20250724,29.914,29.914,29.5143,29.6578,29.9038,-0.246,-0.8225,1668827.68,4823718.576,hfq
600900.SH,20250725,29.5758,29.6988,29.4631,29.4631,29.6578,-0.1947,-0.6565,1008790.9,2910198.554,hfq
600900.SH,20250728,29.4631,29.5554,29.3094,29.3504,29.4631,-0.1127,-0.3826,844450.6,2421911.286,hfq
600900.SH,20250729,29.3197,29.4529,29.3095,29.3402,29.3504,-0.0102,-0.0349,717720.13,2057394.625,hfq
600900.SH,20250730,29.3504,29.6579,29.3504,29.4119,29.3402,0.0717,0.2445,978280.42,2814742.121,hfq
600900.SH,20250731,29.125,29.125,28.3871,28.5306,29.4119,-0.8813,-2.9965,2579698.28,7209401.327,hfq
600900.SH,20250801,28.4793,28.7458,28.3666,28.6843,28.5306,0.1537,0.5388,981486.06,2738151.406,hfq
600900.SH,20250804,28.592,28.8687,28.4896,28.838,28.6843,0.1537,0.5359,823203.72,2311780.582,hfq
600900.SH,20250805,28.838,28.879,28.6535,28.797,28.838,-0.041,-0.1421,787152.7,2209870.18,hfq
600900.SH,20250806,28.7868,28.8175,28.5613,28.6638,28.797,-0.1332,-0.4626,1144934.79,3198859.437,hfq
600900.SH,20250807,28.6331,28.8791,28.5306,28.7561,28.6639,0.0923,0.3218,1051956.76,2948188.366,hfq
600900.SH,20250808,28.7561,28.7766,28.5511,28.5511,28.7561,-0.205,-0.7128,824972.1,2304820.604,hfq
600900.SH,20250811,28.5511,28.5716,28.1924,28.3769,28.5511,-0.1742,-0.6102,1243550.56,3436843.944,hfq
600900.SH,20250812,28.3769,28.5716,28.3256,28.4486,28.3769,0.0717,0.2528,743183.9,2065281.068,hfq
600900.SH,20250813,28.4589,28.5409,28.2949,28.3154,28.4486,-0.1332,-0.4683,934256.87,2589154.7,hfq
600900.SH,20250814,28.3051,28.5818,28.2846,28.3461,28.3154,0.0307,0.1086,1017587.96,2824224.358,hfq
600900.SH,20250815,28.3974,28.4691,28.2847,28.3154,28.3461,-0.0307,-0.1085,1072302.33,2967736.757,hfq
600900.SH,20250818,28.3256,28.4076,28.2334,28.3256,28.3154,0.0102,0.0362,1147361.96,3169229.161,hfq
600900.SH,20250819,28.3359,28.4691,28.2949,28.3154,28.3256,-0.0102,-0.0362,1146023.98,3172704.27,hfq
600900.SH,20250820,28.2847,28.4281,28.1412,28.3769,28.3154,0.0615,0.2172,1022259.37,2820524.963,hfq
600900.SH,20250821,28.3768,28.6433,28.3461,28.5408,28.3768,0.1639,0.5778,1179347.54,3284359.052,hfq
600900.SH,20250822,28.5715,28.6125,28.3871,28.5613,28.5408,0.0205,0.0718,1032104.0,2866065.221,hfq
600900.SH,20250825,28.7355,29.2582,28.7253,29.0532,28.5613,0.4919,1.7223,2185666.04,6194362.996,hfq
600900.SH,20250826,29.0532,29.1044,28.9097,29.0122,29.0532,-0.041,-0.1411,1130612.48,3198022.514,hfq
600900.SH,20250827,28.9508,29.002,28.6229,28.6536,29.0123,-0.3586,-1.2363,1275324.14,3586735.277,hfq
600900.SH,20250828,28.6433,28.6843,28.3768,28.5613,28.6535,-0.0923,-0.3219,1092962.47,3043101.973,hfq
600900.SH,20250829,28.5921,28.8585,28.5408,28.7868,28.5613,0.2255,0.7894,1067298.46,2996376.746,hfq
600900.SH,20250901,28.7971,28.7971,28.3974,28.4794,28.7868,-0.3074,-1.068,1246086.67,3468108.875,hfq
600900.SH,20250902,28.3871,28.9918,28.3871,28.9098,28.4794,0.4304,1.5113,1751446.01,4918052.711,hfq
600900.SH,20250903,28.9508,29.1045,28.5204,28.6536,28.9098,-0.2562,-0.8862,1271331.13,3563092.89,hfq
600900.SH,20250904,28.6331,29.002,28.3974,28.9303,28.6536,0.2767,0.9657,1758480.97,4929530.683,hfq
600900.SH,20250905,28.8585,29.0123,28.6946,28.7663,28.9303,-0.164,-0.5668,1069513.08,3006365.138,hfq
