code,name,CR,AR,MDD,Sharpe,bh_CR,bh_Sharpe,rounds,win_rate,profit_factor,avg_hold,max_units,time_in_market
002594.SZ,比亚迪,-0.09160902304089369,-0.12144549740735533,0.16739824139165702,-0.6094254993953399,-0.19384231868152524,-0.8665720251278466,2,0.0,0.0,67.5,6,0.1595744680851064
600031.SH,三一重工,-0.22093784981608922,-0.2856956996510891,0.2852106891248369,-1.5253463773331375,-0.141296787527468,-0.41341405928018543,5,0.0,0.0,51.4,6,0.30851063829787234
600900.SH,长江电力,-0.2682322235883503,-0.3435066908415365,0.28888940495654714,-1.741882369717415,-0.0018914054128745805,0.04187341992929343,4,0.0,0.0,68.0,6,0.48404255319148937
688981.SH,中芯国际,-0.11331983736112439,-0.15418028967883868,0.3256056086508158,-0.10105115693279212,0.060460845915601746,0.41147453529703115,4,0.25,0.3164260607917263,71.0,6,0.29120879120879123
