code,name,start,end,N_short,N_long,commission,cumulative_return,annualized_return,mdd,sharpe,sortino,calmar,num_trades,bh_cumulative_return,bh_mdd
002594.SZ,比亚迪,2025-07-03,2026-07-03,5,20,0.0003,-0.2051705831499091,-0.21267685214469412,0.2454284431000454,-1.374611703919755,-1.442222741650981,-0.8665534013023887,18,-0.1972312888570057,0.3143941549006761
600031.SH,三一重工,2025-07-02,2026-07-02,5,20,0.0003,-0.24380690837168317,-0.25248910312758766,0.29781683053269814,-1.3389531018966936,-1.3495409339051618,-0.8477999805315442,16,-0.010302197802197655,0.2793986966824644
600900.SH,长江电力,2025-07-03,2026-07-03,5,20,0.0003,-0.05036813538380169,-0.05239398015589969,0.06333304837222087,-0.703960694405106,-0.6766221171614054,-0.8272770931215863,12,-0.07135593220338987,0.14124795818360036
688981.SH,中芯国际,2025-07-03,2026-07-03,5,20,0.0003,0.3836783414462752,0.4144801188871219,0.24726314051990106,0.9394082300303686,1.254144420795899,1.6762713521134878,11,0.6269619666048263,0.3450384250613172
